lemma;id;pos;gloss;Russian gloss
апокалипсисъ;140927;Nb;Apocalypse (book);апокалипсис (книга)
аполинарии;130968;Ne;Apollinarius;Аполлинарий
апостолъ;121263;Nb;apostle;апостол
апостольскыи;131129;A-;apostolic;апостольский
арабаньскыи;143749;A-;Aravan;Араванский
аравия;123939;Ne;Arabia;Аравия
арака;137024;Nb;Arak (drink);арак (алкогольный напиток)
баба;130128;Nb;woman, grandmother;женщина, бабушка
баба;139230;Nb;pelican;пеликан
бабити;143939;V-;to assist as a midwife;заниматься повивальным делом
бабогури;144076;Nb;white agate;белый агат
багримъ;144020;Nb;Eid Al-Adha;Курбан-байрам
багрямъ;144224;Nb;Eid Al-Adha;Курбан-байрам
багряныи;129889;A-;vermillion;красный
багряница;131674;Nb;purple robe;багряница (красная ткань)
базаръ;143792;Nb;bazaar, fair;базар, ярмарка
базлукъ;140053;Nb;anti-slip aid with spikes;скоба с шипами для хождения по льду
баикаловъ;139456;A-;of Baikal;байкальский
балаганьць;139519;Nb;hut;шалаш
балтаулии;143431;Ne;Baltauliy;Балтаулий
балтоуглии;143229;Ne;Baltauliy;Балтаулий
балыкая;144487;Ne;Balykaya;Балыкая
баньныи;132967;A-;of baths;банный
баня;122880;Nb;baths, christening;баня, крещение
баракъ;140877;Ne;Barak;Варак
баранець;136152;Nb;ram;баран
барании;136177;A-;ram's;бараний
баранъ;139234;Nb;ram;баран
бараньныи;136155;A-;ram's;бараний
барка;139465;Nb;boat;лодка
бархатъ;135840;Nb;velvet;бархат
батманъ;143710;Nb;batman (a unit of mass);батман (мера веса)
батогъ;133290;Nb;stick, penalty;палка, наказание
батожъкъ;141193;Nb;stick;палка
батько;141475;Nb;father (address);отец (обращение)
батюшка;139423;Nb;sir, father;господин, отец
батюшко;138888;Nb;sir;господин
башмаковъ;140151;Ne;Bashmakov;Башмаков
башта;143366;Nb;tower;башня
башьня;139296;Nb;tower;башня
бедро;132773;Nb;thigh;бедро
безаконие;130143;Nb;sin, lawlessness;грех, беззаконие
безаконьникъ;120458;Nb;criminal, heretic, infidel;преступник, еретик, иноверец
безаконьновати;134933;V-;sin;грешить
безаконьныи;123639;A-;sinful, heterodox;греховный, иноверный
безбраньно;143274;Df;without battle, without obstruction;без боя, беспрепятственно
безводица;144270;Nb;lack of water;отсутствие воды
безводьныи;140810;A-;waterless;безводный
безврѣменьныи;135439;A-;unrestraint, untimely;неумеренный, несвоевременный
безвѣрие;140434;Nb;unbelief;безверие
безвѣрьныи;143148;A-;heterodox;иноверный
безгласьныи;143192;A-;speechless;безмолвный
безгодьныи;140845;A-;miserable, useless, untimely;несчастный, непригодный, несвоевременный
безгрѣшьныи;130890;A-;sinless;безгрешный
бездушьныи;140488;A-;inanimate;неодушевлённый
бездъждие;135517;Nb;lack of rain;отсутствие дождя
бездъна;132487;Nb;hell;преисподняя
бездѣлие;139915;Nb;inaction;бездействие
бездѣлица;139471;Nb;trifle;безделица
бездѣльныи;135894;A-;idle, unavailing;праздный, безуспешный
безизмѣникъ;140943;Nb;pauper;неимущий
безлѣпиця;133487;Nb;nonsense, bad deed;бессмыслица, дурное дело
безлѣпичьныи;137080;A-;unfair;несправедливый
безмълвие;144477;Nb;silence, solitude;молчание,уединение
безмьздьныи;134901;A-;gratuitous;безвозмездный
безмѣрьныи;132569;A-;excessive;чрезмерный
безначальныи;130834;A-;timeless;извечный
безумие;130618;Nb;folly;безрассудство, глупость
безумьныи;135319;A-;thoughtless, foolish;безрассудный, глупый
безълобивыи;134830;A-;meek;кроткий
безълобие;134810;Nb;meekness;кротость
бекѣтовъ;139144;Ne;Beketov;Бекетов
белдюзь;134195;Ne;Beldyuz';Белдюзь
белзъ;131989;Ne;Belz;Белз
белкатгинъ;133912;Ne;Belkatgin;Белкатгин
береженье;135773;Nb;preservation;сохранность, оберегание
