original	translation
14671	
47587	
47588	
47589	
47590	
47591	
47592	
47593	
47594	
47595	
47596	
47597	
47598	
47599	
47600	
47601	
47602	
47603	
47604	
47605	
47606	
47607	
47608	
47609	
47610	
47611	
47612	
47613	
47614	
47615	
47616	
47617	
47618	
47619	
47620	
47621	
47622	
47623	
47624	
47625	
14675	
14676	
14677	
14678	
47626	
47627	
47628	
14680	
47629	
47630	
14682	
14683	
14684	
47631	
47632	
14686	
14687	
47633	
47634	
14689	
14690	
14691	
47635	
47636	
14693	
14694	
14695	
14696	
14697	
47637	
47638	
14699	
14700	
58378	
14702	
47639	
47640	
14704	
47641	
47642	
14706	
14707	
14708	
14709	
47643	
47644	
47645	
14711	
47646	
47647	
47648	
47649	
47650	
14714	
47651	
47652	
14716	
47653	
47654	
47655	
14718	
14719	
14720	
14721	
14722	
47656	
47657	
14724	
14725	
14726	
47658	
47659	
47660	
14728	
14729	
14730	
47661	
47662	
14732	
14733	
47663	
47664	
47665	
47666	
47667	
47668	
47669	
14737	
58379	
47670	
47671	
47672	
47673	
47674	
14740	
14741	
47675	
47676	
14743	
14744	
14745	
14746	
47677	
47678	
47679	
14748	
14749	
47680	
47681	
14751	
14752	
14753	
14754	
14755	
14756	
14757	
14758	
14759	
14760	
47682	
47683	
14762	
14763	
14764	
14765	
14766	
14767	
14768	
14769	
14770	
14771	
14772	
14773	
14774	
14775	
14776	
14777	46818
14778	46819
14779	46820
14780	46821
14781	46822
57381	46823
14782	46824
14783	46825
14784	46826
47684	46827
47685	46828
14786	46829
14787	46830
14788	46831
14789	46832
57379	46833
14791	46834
47686	46835
47687	46836
47688	46837
47689	46838
14794	46839
14795	46840
14796	46841
14797	46842
14798	46843
47690,47691	46844
14800	46845,46846
47692	46847
47693,47694	46848
14802	46849
14803	60086
14804	46850
14805	46851
14806	46852
14807	46853
14808	46856
47695	46857
47696	46858
14810	46859
14811	46860
14812	46861
14813	46862
14814	46863
47697	46864
47698	46865
47699	46866
47700	46867
14817	46868
14818	46869
14819	46870
14820	46871
14821	46872
14822	46873
14823	46874
14824	46875
47701	46876
47702	46877
14826	46878
14827	46879
58389	58391
47703,47704	46880
14830,14831	46881
47705	46882
47706	46883
47707	46884
47708	46885
14834	46886
47709	46887
47710	46888
47711	46889
14836	46890
14837	46891
14838	46892
	46893
	46894
14839	46895
14840	46896
47712	46897
47713	46898
47714,47715	46899
14843,14844	46900
14845	46901
14846	46902
14847	46903
14848	46904
14849	46905
14850	46906
14851	46907
14852	46908
14853	46909
14854	46911
47716	46912
47717	46913
14856	46914
14857	46915
14858	46916
14859	46917
14860,14861	46918,46919
47718,47719	46920
14863	46921
14864	46922
14865	46923,46924
14868	46925
14869	46926
14870	
47720	
47721	
14872	
14873	
14874	
47722	
47723	
47724	
47725	
47726	
47727	
14877	
14878	
14879	
14880	
14881	
14882	
47728	
47730	
47731	
14885	
14886	46927
14887	46928
14888	46929
14889	62756
14890	46930
47732,47733	46931
14892	46932
14893	46933
47734,47735	46934
14895	46935
14896	46936
14897	46937
14898	46938
47736	46941
47737	46942
14900	46944
62757	62758
14901	46945
14902	46946
47738,47739	46947
14904	46948
14905	46949
14906	46950
14907	46951
14908	46952
47740	46953
47741	46954
47742	46955
47743	52524
47744	52525
14911	46957
47745	46958
47746	46959
47747	46960
47748	46961
47749	46962
47750	46963
47751	46964
47752,14916	46965
14917	46966
62759	62762
62760	46968
62761	46970
47753	46972
47754	52526
47755	52527
14919	46974
14920	46975
14921	46976
47756	46977
47757,47758	46978
14923	46979
14924	46980
14925	46981
14926	46982
14927,14928	46983
14930	46984
14931	46985
47759	46986
47760	46987
47761	46988
47762,47763	46989
47764	46990
47765	46991
47766	46992
47767	46993
14936	46994
14937	46995
14938	46996
47768	46997
47769	46998
47770	62766
47771	46999
47772	47000
14941	47001
47773	47002
47774	47003
14943	47004
47775	47005
47776	47006
14945	47007
14946	47008
47777	47009
47778	47010
47779	47011
47780	47012
14949	47013
14950	47014
14951	47015
14952	47016
14953	47017
14954	47018
14955	47019
14956	47020
14957	47021
14958	47022
14959	47023
47781	47024
47782	47025
14961	47026
60014	47028
47783	47029
47784	62939
47785	47030
14963	47031
14964	47032
47786	47033
47787	47034
14966	47035
47788,47789	47036
47790	47037
47791	47038
47792	47039
47793	47040
47794	47041,62773
47795	47042
14971	47043
47796	47044
47797	47045
47799	47046
47800	47047
14974	47048
14975,14976	47049
14977	47050
14978	62774,47051
14979	47052
14980	47053
14981	62775,47054
14982	47055
14983	47056
47801	47057
47802	47058
14985	47059
47803,47804	47060,47061
14987	47062
14988	47063
14989,14990	47064
14991	47065
14992	47066
14993	47067
47805	47068
47806	47069
47807	47070
47808	47071
14996	47072
14997	47073
14998	47074
14999	47075
15000,15001	47076
15002	47077
15003	47078
15004	47079
15005,15006	47080
15007	47081
15008	47082
15009	47083
15010	47084
15011	47085
15012	47086
47809,47810	47087
15014	47088
15015	47089
15016	
15017	
15018	
15019	
15020	
15021	
47811	
47812	
47813	
47814	
47815	
47816	
15024	
15025	
15026	
15027	
15028	
15029	
15030	
15031	
47817	
47818	
15033	
15034	
15035	
15036	
15037	
15038	
15039	
15040	
15041	
15042	
15043	
15044	47090
47819,47820	47091
15046	47092
15047	47093
15048	47094
15049	47095
15050	47096
15051,15052	47097
15053,15054	47098
15055	47099
15056	47100
15057	47101
15058	47102
15059	47103
15060	47104
15061	47105
15062	47106
15063	47107
15064	47108
58353	47109
15065	47110
15066	47113,47114
15067	47115
15068	47116
15069	47117
47821	52530
47822	52531
47823,47824,47825	47119,47120
47826	47121
47827	47122
15073	47123
15074	47124
15075	47125
15076	47126
15077	47127
15078	47128
15079	47129
15080	47130
15081,15082	47131,47132
47828	47133
47829	47134
15084	47135
15085	47136
47830	47137
47831	47138
15087	47139
15088	47140
15089	47141,47142
15090	47143
15091	47144
15092	47145
15093	47146
15094	47147
47832	47148
47833	47149
15096	47150
15097	47151
15098	47152
15099	47153
15100,58440	47154
57380	47155
47834	47156
47835	47157
15102,15103	47158,47159
15104	47160
15105	47161
15106	
15107	
