original	translation
14671	12667
47587	12668
47588	12669
47589	12670
47590	12671
47591	12672
47592	12673
47593	12674
47594	12675
47595	12676
47596	12677
47597	12678
47598	12679,12680
47599,47600	12681
47601	12682
47602	12683
47603	12684
47604	12685
47605	12686
47606	12687
47607	12688
47608	12689
47609	12690
47610	12691
47611	12692
47612	12693
47613	12694
47614	12695
47615	12697
47616	12698
47617	12699
47618	12700
47619	12701
47620	12702
47621	12703
47622	12704
47623	12705
47624	12706
47625	12707
14675	12708,12709,12710
14676	12711
14677	12712
14678	12713
47626	12714
47627	12715
47628	12716
14680	12717,12718,12719
47629	12720
47630	12721,12722
14682	12723
14683	12724
14684	12725
47631	12726
47632	12727
14686	12728
14687	12729,12730
47633	12731
47634	12732
14689	12733
14690	12734
14691	12735
47635	12736,12737
47636	12738
14693	12739
14694	12740
14695	12741
14696	12742,12743
14697	12744
47637	12745
47638	12746
14699	12747
14700	12748,12749,12750
58378	12751
14702	12752
47639	12753
47640	12754
14704	12755
47641	12756
47642	12757,12758
14706	12759
14707	12760
14708	12761
14709	12762
47643	12765
47644	12766
47645	12767
14711	12768
47646	12769
47647	47490
47648	47491
47649	12771
47650	12772
14714	12773
47651	12774
47652	12775
14716	12776
47653	12777
47654	12778
47655	12779
14718	12780
14719	12781
14720	12782
14721	12783
14722	12784
47656	12785,12786,47492
47657	47493
14724	12788
14725	12789
14726	12790
47658	12791
47659	12792
47660	12793
14728	12794
14729,14730	12795,12796
47661	12797
47662	12798
14732	12799
14733	12800
47663	12801
47664	12802
47665	12803
47666	12804
47667	12805
47668	12806
47669	12807
14737,58379	12808
47670	12810
47671	12811
47672	12812
47673	12813,12814
47674	12815
14740	12816
14741	12817
47675	12818
47676	12819
14743	12820,12821
14744	12822
14745	12823,12824
14746	12825
47677	12828
47678	12829
47679	12830
14748,14749,47680	12831
47681	12832
14751	12833
14752	12834
14753	12835
14754	12836
14755	12837
14756,14757	12839
14758	12840
14759,14760,47682	12841
47683	12842
14762	12844
14763	12846
14764	12848
14765	12850
14766	12852
14767	12854
14768	12856
14769	12858
14770	12859
14771	12860
14772	12861
14773,14774	12862
14775	12864
14776,14777	12865
14778	12866
14779	12868
14780	12869
14781	12870
57381	62914
14782	12871
14783	12872
14784	12873
47684	12874
47685	12875
14786	12876
14787	12877,12878
14788	12879
14789	12881
57379	12883,12885
14791	12886
47686	12889
47687	62915
47688	12890
47689	12891
14794	12892,12893
14795	12894
14796	12895
14797	12896
14798	12897
47690	12898
47691	12899
14800	12900,12901,12902
47692	12903
47693	12904
47694	12905
14802,14803,14804,14805,14806	12906
14807	12910
14808	12912
47695	12913
47696	12914
14810	12915
14811	12916
14812	12917
14813	12918
14814	12919,12920
47697	12921
47698	12922
47699	12923
47700	12924,12926,12927
14817	12928
14818	12929
14819	12930
14820	12931
14821	12932
14822	12933
14823	12934
14824	12935
47701	12936
47702	62928
14826	12937
14827,58389	12939
47703	12940
47704	62929
14830	12941
14831	12942
47705	47494
47706	47495
47707	12944
47708	12945
14834	12946
47709	12947
47710	47496
47711	47497
14836,14837	12949
