original	translation
14671	
47587	
47588	
47589	
47590	
47591	
47592	
47593	
47594	
47595	
47596	
47597	
47598	
47599	
47600	
47601	
47602	
47603	
47604	
47605	
47606	
47607	
47608	
47609	
47610	
47611	
47612	
47613	
47614	
47615	
47616	
47617	
47618	
47619	
47620	
47621	
47622	
47623	
47624	
47625	
14675	
14676	
14677	
14678	
47626	
47627	
47628	
14680	
47629	
47630	
14682	
14683	
14684	
47631	
47632	
14686	
14687	
47633	
47634	
14689	
14690	
14691	
47635	
47636	
14693	
14694	
14695	
14696	
14697	
47637	
47638	
14699	
14700	
58378	
14702	
47639	
47640	
14704	
47641	
47642	
14706	
14707	
14708	
14709	
47643	
47644	
47645	
14711	
47646	
47647	
47648	
47649	
47650	
14714	
47651	
47652	
14716	
47653	
47654	
47655	
14718	
14719	
14720	
14721	
14722	
47656	
47657	
14724	
14725	
14726	
47658	
47659	
47660	
14728	
14729	
14730	
47661	
47662	
14732	
14733	
47663	
47664	
47665	
47666	
47667	
47668	
47669	
14737	
58379	
47670	
47671	
47672	
47673	
47674	
14740	
14741	
47675	
47676	
14743	
14744	
14745	
14746	
47677	
47678	
47679	
14748	
14749	
47680	
47681	
14751	
14752	
14753	
14754	
14755	
14756	
14757	
14758	
14759	
14760	
47682	
47683	
14762	
14763	
14764	
14765	
14766	
14767	
14768	
14769	
14770	
14771	
14772	
14773	
14774	
14775	
14776	
14777	
14778	
14779	
14780	
14781	
57381	
14782	
14783	
14784	
47684	
47685	
14786	
14787	
14788	
14789	
57379	50665
14791	38377
47686	50666
47687	50667
47688	50668
47689	50669
14794	38380
14795	38381
14796	38382
14797	38383
14798	38384
47690	38385
47691	59987
14800	38386
47692	50670
47693	50671
47694	50672
14802,14803,14804,14805	38388
14806	38392
14807,14808	38393,38394
47695	50673
47696	50674
14810	38396
14811	38397
14812	38398
14813	38399
14814	38400
47697	50675
47698	50676
47699	50677
47700	50678,59988,59989,59990
14817	38403
14818	38404
14819	38405
14820	38406
14821	38407
14822	38408
14823	38409
14824	38410
47701	50679
47702	50680
14826	38412
14827	38413
58389	58390
47703,47704	38415
14830,14831	50681,50682
47705	38417
47706	38418
47707	50683
47708	50684
14834	38420
47709	38421
47710	50685
47711	50686
14836	38423
14837	38424
14838	38425
14839	38426
14840	38427
47712,47713	50687,50688
47714,47715	38429
14843	38430
14844	38431
14845	38432
14846	38433
14847	38434
14848	38435
14849	38436
14850	38437
14851	38438
14852	38439
14853	50689
14854	50690
47716	38441
47717	38442
14856	38443
14857	38444
14858	38445
14859	38446
14860	38447
14861	38448
47718,47719	38449
14863	38450
14864	38451
14865	38452,38453,38454
14868	38455
14869	38456
14870	38457
47720	50691
47721	50692
14872	38459
14873	38460
14874	38461
47722,47723,47724	38462
47725,47726	60004
47727	60005
14877	38463
14878	38464
14879	38465
14880	38466
14881	38467
14882	38468
47728	38469
47730,47731	38470
14885	38471
14886	38472
14887	38473
14888	38474
14889	38475,38476
14890	38477,38478
47732	38479
47733	60008
14892	38480
14893	38481
47734,47735	38482
14895	38483
14896	38484
14897	38485
14898	38486
47736	50693
47737	50694
14900	38488
62757	58260
14901	38489
14902	38490
47738	50695,50696
47739	60011
14904	38492
14905	50697,50698
14906	38494
14907	38495
14908	38496
47740	50699
47741	50700
47742	50701
47743	50702
47744	50703
14911	38499
47745	50704
47746	50705,50706
47747	50707
47748	50708
47749	50709
47750	50710
47751	50711
47752	50712
14916	38504
14917	38505
62759	57041
62760	57039
62761	57040
47753	50713
47754	50714
47755	50715
14919	38507
14920	38508
14921	60012
47756	50716
47757	50717
47758	50718
14923	50719
	38511
14924	38512
14925	50720,60013
14926	38514
14927,14928	38515
14930	38518
14931	50722,50723
47759	50724
47760	50725
47761	50726
47762,47763	50727
47764	50728
47765	50729
47766	50730
47767	50731
14936	38524
14937	38525
14938	38526
47768	50732
47769	50733
47770	50734
47771	50735
47772	50736
14941	38529
47773	50737
47774	50738
14943	38531
47775	50739
47776	50740
14945	38533
14946	38534
47777	50741
47778	50742
47779	50743
47780	50744
14949	38537
14950	38538
14951	38539
14952	38540
14953	38541
14954	38542
14955	38543
14956,14957	50745,50746
14958	38546
14959	38547
47781	50747
47782	50748
14961	50749
60014	50750
47783	50751
47784	50752
47785	50753
14963	
14964	38551
47786	50754
47787	50755
14966	38553
47788,47789	38554
47790	50756
47791	50757
47792	50758
47793	50759
47794	38557
47795	60016
14971	38558
47796	50760
47797	50761
47799	50762
47800	50763
14974	38561
14975	38562
14976	60017
14977	38564
14978	38565
14979	38566
14980	38567
14981	60019
14982	38569
14983	38570
47801	50764
47802	50765
14985	38572
47803	50766
47804	50767
14987	38574
14988	38575
14989	50768
14990	50769
14991	38577
14992	38578
14993	38579
47805	50770
47806	50771
47807	38581
47808	38582
14996,14997	38583
14998	38584
14999	38585
15000	38586
15001	38587
15002	38588
15003	38589
15004	38590
15005	38591
15006	38592
15007	38593
15008	38594
15009	38595
15010	38596
15011	38597
15012	38598
47809,47810	38599
15014	38600
15015	50772,50773
15016	50774
15017	50775
15018	38605
15019	38606
15020	38607
15021	38608
47811	50776
47812	50777
47813	50778
47814	50779
47815	50780
47816	50781
15024	38611
15025	38612
15026	38613
15027	38614
15028	38615
15029	38616
15030	38617
15031	38618
47817	50782
47818	50783
15033	38620
15034	38621
15035	38622
15036	38623
15037	38624
15038	50784
15039	50785
15040	38627
15041	38628
15042	38629
15043	38630
15044	38631
47819,47820	38632
15046	38633
15047	38634
15048	38635
15049	38636
15050	38637
15051	38638
15052	38639
15053	38640
15054	38641
15055	38642
15056	38643
15057	50786
15058	50787
15059	60027
15060	38645
15061	38646
15062	38647
15063	38648
15064	38649
58353	58352
15065	38650
15066	38651
15067	38652
15068	38653
15069	38654
47821	50788
47822	50789
47823	50790
47824,47825	50791
47826	50792
47827	50793
15073	38658
15074	38659
15075	38660
15076	38662
15077	38663
15078	38664
15079	38666
15080	38667
15081,15082	50794,50795
47828	50796
47829	50797
15084	50798
15085	38669
47830	50799
47831	50800
15087	38671
15088	38672
15089	38673
15090	38674
15091	38675
15092	38676
